pos,c,twist,airfoil
0,1,1,NACA0020
0.1,1,1,NACA0020
0.2,1,1,NACA0020
0.3,1,1,NACA0020
0.4,1,1,NACA0020
0.5,1,1,NACA0020
0.6,1,1,NACA0020
0.7,1,1,NACA0020
0.8,1,1,NACA0020
0.9,1,1,NACA0020
1,1,1,NACA0020
1.1,1,1,NACA0020
1.2,1,1,NACA0020
1.3,1,1,NACA0020
1.4,1,1,NACA0020
1.5,1,1,NACA0020
1.6,1,1,NACA0020
1.7,1,1,NACA0020
1.8,1,1,NACA0020
1.9,1,1,NACA0020
2,1,1,NACA0020
2.1,1,1,NACA0020
2.2,1,1,NACA0020
2.3,1,1,NACA0020
2.4,1,1,NACA0020
2.5,1,1,NACA0020
2.6,1,1,NACA0020
2.7,1,1,NACA0020
2.8,1,1,NACA0020
2.9,1,1,NACA0020
3,1,1,NACA0020
3.1,1,1,NACA0020
3.2,1,1,NACA0020
3.3,1,1,NACA0020
3.4,1,1,NACA0020
3.5,1,1,NACA0020
3.6,1,1,NACA0020
3.7,1,1,NACA0020
3.8,1,1,NACA0020
3.9,1,1,NACA0020
4,1,1,NACA0020
4.1,1,1,NACA0020
4.2,1,1,NACA0020
4.3,1,1,NACA0020
4.4,1,1,NACA0020
4.5,1,1,NACA0020
4.6,1,1,NACA0020
4.7,1,1,NACA0020
4.8,1,1,NACA0020
4.9,1,1,NACA0020
5,1,1,NACA0020
5.1,1,1,NACA0020
5.2,1,1,NACA0020
5.3,1,1,NACA0020
5.4,1,1,NACA0020
5.5,1,1,NACA0020
5.6,1,1,NACA0020
5.7,1,1,NACA0020
5.8,1,1,NACA0020
5.9,1,1,NACA0020
6,1,1,NACA0010
6.1,1,1,NACA0010
6.2,1,1,NACA0010
6.3,1,1,NACA0010
6.4,1,1,NACA0010
6.5,1,1,NACA0010
6.6,1,1,NACA0010
6.7,1,1,NACA0010
6.8,1,1,NACA0010
6.9,1,1,NACA0010
7,1,1,NACA0010
7.1,1,1,NACA0010
7.2,1,1,NACA0010
7.3,1,1,NACA0010
7.4,1,1,NACA0010
7.5,1,1,NACA0010
7.6,1,1,NACA0010
7.7,1,1,NACA0010
7.8,1,1,NACA0010
7.9,1,1,NACA0010
8,1,1,NACA0010
8.1,1,1,NACA0010
8.2,1,1,NACA0010
8.3,1,1,NACA0010
8.4,1,1,NACA0010
8.5,1,1,NACA0010
8.6,1,1,NACA0010
8.7,1,1,NACA0010
8.8,1,1,NACA0010
8.9,1,1,NACA0010
9,1,1,NACA0010
9.1,1,1,NACA0010
9.2,1,1,NACA0010
9.3,1,1,NACA0010
9.4,1,1,NACA0010
9.5,1,1,NACA0010
9.6,1,1,NACA0010
9.7,1,1,NACA0010
9.8,1,1,NACA0010
9.9,1,1,NACA0010
10,1,1,NACA0010
